Unnamed: 0,date,open,high,low,close,volume
0.0,2020-11-06 00:00:00+05:30,33.0,33.0,30.3,32.7,58838
1.0,2020-11-09 00:00:00+05:30,33.7,33.7,31.5,32.3,18445
2.0,2020-11-10 00:00:00+05:30,33.45,33.45,30.25,31.75,3622
3.0,2020-11-11 00:00:00+05:30,31.25,32.35,31.25,31.35,3211
4.0,2020-11-12 00:00:00+05:30,31.35,32.15,28.0,30.5,12063
5.0,2020-11-13 00:00:00+05:30,30.5,32.15,30.25,32.1,5043
6.0,2020-11-14 00:00:00+05:30,32.1,32.9,31.0,31.9,193
7.0,2020-11-17 00:00:00+05:30,31.9,32.25,31.35,31.9,4650
8.0,2020-11-18 00:00:00+05:30,30.05,33.4,28.1,32.25,2091
9.0,2020-11-19 00:00:00+05:30,32.5,38.7,30.1,38.7,33724
10.0,2020-11-20 00:00:00+05:30,45.45,46.4,45.0,46.4,38480
11.0,2020-11-23 00:00:00+05:30,51.0,51.0,47.35,51.0,37268
12.0,2020-11-24 00:00:00+05:30,56.1,56.1,54.15,56.1,84409
13.0,2020-11-25 00:00:00+05:30,61.45,61.7,61.4,61.7,38559
14.0,2020-11-26 00:00:00+05:30,64.75,64.75,64.75,64.75,20249
15.0,2020-11-27 00:00:00+05:30,67.95,67.95,61.55,61.55,89970
16.0,2020-12-01 00:00:00+05:30,58.5,58.5,58.5,58.5,7297
17.0,2020-12-02 00:00:00+05:30,55.6,55.6,55.6,55.6,3544
18.0,2020-12-03 00:00:00+05:30,52.85,58.35,52.85,57.0,66462
19.0,2020-12-04 00:00:00+05:30,57.5,57.5,54.15,54.15,13353
20.0,2020-12-07 00:00:00+05:30,53.0,56.0,51.45,51.8,28886
21.0,2020-12-08 00:00:00+05:30,49.25,51.95,49.25,49.55,34863
22.0,2020-12-09 00:00:00+05:30,49.0,51.0,47.1,49.7,8768
23.0,2020-12-10 00:00:00+05:30,49.7,51.0,48.05,49.85,5390
24.0,2020-12-11 00:00:00+05:30,49.85,50.0,47.45,49.75,4684
25.0,2020-12-14 00:00:00+05:30,51.0,52.2,47.45,51.0,12218
26.0,2020-12-15 00:00:00+05:30,53.55,53.55,48.45,50.35,14731
27.0,2020-12-16 00:00:00+05:30,50.35,52.85,49.0,50.7,23191
28.0,2020-12-17 00:00:00+05:30,50.7,53.2,49.4,51.8,6778
29.0,2020-12-18 00:00:00+05:30,52.75,52.75,50.05,51.15,4971
30.0,2020-12-21 00:00:00+05:30,49.6,51.15,49.1,50.15,4298
31.0,2020-12-22 00:00:00+05:30,48.35,49.85,47.65,48.95,19520
32.0,2020-12-23 00:00:00+05:30,48.0,50.8,48.0,49.7,6135
33.0,2020-12-24 00:00:00+05:30,50.0,51.4,48.0,49.2,12766
34.0,2020-12-28 00:00:00+05:30,49.8,51.65,49.75,51.55,12232
35.0,2020-12-29 00:00:00+05:30,52.6,53.5,49.6,53.05,7547
36.0,2020-12-30 00:00:00+05:30,53.05,53.05,50.8,52.0,2054
37.0,2020-12-31 00:00:00+05:30,52.75,52.75,50.05,50.6,7291
38.0,2021-01-01 00:00:00+05:30,52.9,52.9,50.4,51.85,10752
0.0,2021-01-04 00:00:00+05:30,50.45,54.4,50.45,54.1,10634
1.0,2021-01-05 00:00:00+05:30,55.9,55.9,51.65,53.4,3134
2.0,2021-01-06 00:00:00+05:30,54.95,54.95,52.8,53.65,8400
3.0,2021-01-07 00:00:00+05:30,53.95,53.95,52.6,53.4,991
4.0,2021-01-08 00:00:00+05:30,53.4,54.1,52.2,54.0,5568
5.0,2021-01-11 00:00:00+05:30,56.7,56.7,53.05,53.7,3531
6.0,2021-01-12 00:00:00+05:30,53.7,56.35,51.1,55.1,10386
7.0,2021-01-13 00:00:00+05:30,52.7,55.9,52.7,53.05,3590
8.0,2021-01-14 00:00:00+05:30,52.85,53.8,50.4,50.6,9017
9.0,2021-01-15 00:00:00+05:30,50.6,51.55,50.5,51.4,755
10.0,2021-01-18 00:00:00+05:30,53.5,53.5,50.1,51.4,2152
11.0,2021-01-19 00:00:00+05:30,51.4,51.8,50.1,51.0,634
12.0,2021-01-20 00:00:00+05:30,49.05,53.45,49.05,51.0,564
13.0,2021-01-21 00:00:00+05:30,51.45,51.45,49.0,49.55,910
14.0,2021-01-22 00:00:00+05:30,49.55,52.0,47.65,48.25,5819
15.0,2021-01-25 00:00:00+05:30,48.25,50.65,46.5,49.65,4886
16.0,2021-01-27 00:00:00+05:30,50.0,50.0,47.2,47.2,1625
17.0,2021-01-28 00:00:00+05:30,45.55,48.85,45.05,47.2,894
18.0,2021-01-29 00:00:00+05:30,49.3,49.55,45.05,49.1,7111
19.0,2021-02-01 00:00:00+05:30,50.1,50.55,46.85,47.45,10516
20.0,2021-02-02 00:00:00+05:30,49.8,49.8,47.1,49.35,14712
21.0,2021-02-03 00:00:00+05:30,47.3,49.5,46.9,48.0,13621
22.0,2021-02-04 00:00:00+05:30,49.55,49.85,47.65,48.1,3768
23.0,2021-02-05 00:00:00+05:30,50.2,50.2,46.55,48.15,2913
24.0,2021-02-08 00:00:00+05:30,49.95,49.95,48.35,49.2,1942
25.0,2021-02-09 00:00:00+05:30,51.9,52.0,49.8,49.8,7251
26.0,2021-02-10 00:00:00+05:30,49.8,54.75,49.8,52.85,9284
27.0,2021-02-11 00:00:00+05:30,52.85,58.1,51.65,55.75,24845
28.0,2021-02-12 00:00:00+05:30,55.9,61.1,53.95,58.1,23592
29.0,2021-02-15 00:00:00+05:30,59.3,59.3,53.35,53.8,19528
30.0,2021-02-16 00:00:00+05:30,56.9,59.15,52.15,58.1,34240
31.0,2021-02-17 00:00:00+05:30,59.1,60.0,55.15,57.1,6012
32.0,2021-02-18 00:00:00+05:30,58.25,62.8,57.1,61.05,8785
33.0,2021-02-19 00:00:00+05:30,62.3,63.9,58.1,59.6,5302
34.0,2021-02-22 00:00:00+05:30,60.0,62.0,56.75,61.3,6256
35.0,2021-02-23 00:00:00+05:30,61.5,63.55,59.45,60.15,4887
36.0,2021-02-24 00:00:00+05:30,58.95,63.3,58.1,61.2,1498
37.0,2021-02-25 00:00:00+05:30,61.25,62.45,60.0,61.2,1824
38.0,2021-02-26 00:00:00+05:30,61.2,62.6,58.0,60.6,2828
39.0,2021-03-01 00:00:00+05:30,62.0,63.0,56.6,58.7,8244
40.0,2021-03-02 00:00:00+05:30,59.5,62.0,58.25,58.95,2259
