Unnamed: 0,date,open,high,low,close,volume
0.0,2003-09-19 00:00:00+05:30,10.65,11.05,10.1,10.65,485928
1.0,2003-09-22 00:00:00+05:30,10.75,11.2,10.75,11.2,1110360
2.0,2003-09-23 00:00:00+05:30,11.5,11.75,11.3,11.65,473200
3.0,2003-09-24 00:00:00+05:30,11.75,11.75,11.25,11.35,2187840
4.0,2003-09-25 00:00:00+05:30,11.3,11.6,11.15,11.2,817792
5.0,2003-09-26 00:00:00+05:30,11.3,11.75,11.3,11.7,740856
6.0,2003-09-29 00:00:00+05:30,12.0,12.3,12.0,12.3,782296
7.0,2003-09-30 00:00:00+05:30,12.5,12.8,12.5,12.7,759600
8.0,2003-10-01 00:00:00+05:30,12.95,13.0,12.55,12.65,832744
9.0,2003-10-03 00:00:00+05:30,12.85,13.25,12.8,12.85,844440
0.0,2003-10-06 00:00:00+05:30,13.1,13.1,12.75,12.8,795232
1.0,2003-10-07 00:00:00+05:30,13.1,13.1,12.25,12.25,1020360
2.0,2003-10-08 00:00:00+05:30,12.75,12.75,12.2,12.3,811776
3.0,2003-10-09 00:00:00+05:30,12.4,12.95,12.25,12.7,946120
4.0,2003-10-10 00:00:00+05:30,12.75,13.35,12.6,12.65,933720
5.0,2003-10-13 00:00:00+05:30,12.8,13.0,12.5,12.6,747720
6.0,2003-10-14 00:00:00+05:30,12.9,12.95,12.25,12.3,429936
7.0,2003-10-15 00:00:00+05:30,12.35,12.65,12.1,12.25,399800
8.0,2003-10-16 00:00:00+05:30,12.5,12.6,12.15,12.2,605912
9.0,2003-10-17 00:00:00+05:30,12.3,12.5,12.05,12.1,571160
10.0,2003-10-20 00:00:00+05:30,12.3,12.45,11.85,12.0,409872
11.0,2003-10-21 00:00:00+05:30,12.1,12.35,11.45,11.6,404104
12.0,2003-10-22 00:00:00+05:30,11.5,11.6,11.05,11.05,414560
13.0,2003-10-23 00:00:00+05:30,10.95,10.95,10.5,10.55,479056
14.0,2003-10-24 00:00:00+05:30,10.45,10.55,10.0,10.45,463944
15.0,2003-10-27 00:00:00+05:30,10.5,10.85,10.45,10.45,172248
16.0,2003-10-28 00:00:00+05:30,10.2,10.7,10.05,10.05,307600
17.0,2003-10-29 00:00:00+05:30,10.0,10.5,9.55,9.8,248192
18.0,2003-10-30 00:00:00+05:30,10.25,10.25,9.5,10.25,763352
19.0,2003-10-31 00:00:00+05:30,10.35,10.8,10.3,10.8,725792
20.0,2003-11-03 00:00:00+05:30,10.85,11.25,10.8,11.05,613984
21.0,2003-11-04 00:00:00+05:30,11.05,11.15,10.8,10.85,439616
22.0,2003-11-05 00:00:00+05:30,10.8,10.95,10.7,10.7,284520
23.0,2003-11-06 00:00:00+05:30,10.6,10.85,10.6,10.75,628024
24.0,2003-11-07 00:00:00+05:30,10.8,10.85,10.6,10.65,249088
25.0,2003-11-10 00:00:00+05:30,10.7,11.2,10.65,11.15,229648
26.0,2003-11-11 00:00:00+05:30,11.25,11.75,11.2,11.5,1601232
27.0,2003-11-12 00:00:00+05:30,11.6,11.6,11.3,11.4,407520
28.0,2003-11-13 00:00:00+05:30,11.35,11.45,10.85,10.9,357352
29.0,2003-11-14 00:00:00+05:30,10.9,11.1,10.7,10.8,249640
30.0,2003-11-17 00:00:00+05:30,10.85,10.95,10.6,10.7,317688
31.0,2003-11-18 00:00:00+05:30,10.7,10.85,10.6,10.65,355184
32.0,2003-11-19 00:00:00+05:30,10.7,10.7,10.25,10.3,175160
33.0,2003-11-20 00:00:00+05:30,10.3,10.75,9.9,9.95,466008
34.0,2003-11-21 00:00:00+05:30,9.8,10.1,9.7,9.75,229528
35.0,2003-11-24 00:00:00+05:30,9.8,10.1,9.8,9.95,256248
36.0,2003-11-25 00:00:00+05:30,10.1,10.35,9.95,10.05,341568
37.0,2003-11-27 00:00:00+05:30,10.35,10.35,10.0,10.05,169776
38.0,2003-11-28 00:00:00+05:30,10.1,10.15,9.8,9.85,273312
39.0,2003-12-01 00:00:00+05:30,10.2,10.35,10.1,10.35,297840
40.0,2003-12-02 00:00:00+05:30,10.25,10.6,10.1,10.15,315064
41.0,2003-12-03 00:00:00+05:30,10.25,10.65,10.2,10.65,729048
42.0,2003-12-04 00:00:00+05:30,11.15,11.15,10.6,10.75,781992
43.0,2003-12-05 00:00:00+05:30,10.95,11.3,10.85,11.0,800248
44.0,2003-12-08 00:00:00+05:30,11.25,11.4,10.95,11.1,172280
45.0,2003-12-09 00:00:00+05:30,11.25,11.65,11.25,11.65,571032
46.0,2003-12-10 00:00:00+05:30,11.8,12.15,11.4,11.5,437560
47.0,2003-12-11 00:00:00+05:30,11.5,12.1,11.5,12.1,558344
48.0,2003-12-12 00:00:00+05:30,12.25,12.7,11.95,12.7,816704
49.0,2003-12-15 00:00:00+05:30,13.0,13.3,12.65,13.25,843880
50.0,2003-12-16 00:00:00+05:30,13.7,13.7,12.6,12.9,1041600
51.0,2003-12-17 00:00:00+05:30,13.05,13.55,13.0,13.35,1097840
52.0,2003-12-18 00:00:00+05:30,13.6,13.8,13.4,13.55,1103768
53.0,2003-12-19 00:00:00+05:30,13.75,14.25,13.6,14.25,1626416
54.0,2003-12-22 00:00:00+05:30,14.5,14.6,14.05,14.25,1578624
55.0,2003-12-23 00:00:00+05:30,14.0,14.35,13.55,13.55,615216
56.0,2003-12-24 00:00:00+05:30,13.25,13.6,13.25,13.45,450456
57.0,2003-12-26 00:00:00+05:30,13.45,13.7,13.35,13.45,303472
58.0,2003-12-29 00:00:00+05:30,13.6,13.6,13.2,13.3,408440
59.0,2003-12-30 00:00:00+05:30,13.5,13.75,12.65,12.9,197144
60.0,2003-12-31 00:00:00+05:30,12.8,12.9,12.45,12.5,403408
61.0,2004-01-01 00:00:00+05:30,12.5,12.85,12.5,12.6,302880
62.0,2004-01-02 00:00:00+05:30,12.6,13.2,12.6,13.2,634184
63.0,2004-01-05 00:00:00+05:30,13.3,13.5,12.95,13.0,390432
64.0,2004-01-06 00:00:00+05:30,13.0,13.2,12.35,12.4,418152
65.0,2004-01-07 00:00:00+05:30,12.45,12.85,12.0,12.25,279048
66.0,2004-01-08 00:00:00+05:30,12.25,12.7,12.25,12.4,331800
67.0,2004-01-09 00:00:00+05:30,12.5,12.85,12.25,12.35,452144
68.0,2004-01-12 00:00:00+05:30,12.6,12.6,12.1,12.25,364224
1.0,2004-01-13 00:00:00+05:30,12.35,12.4,12.0,12.2,256952
2.0,2004-01-14 00:00:00+05:30,12.3,12.3,12.0,12.0,259408
3.0,2004-01-15 00:00:00+05:30,12.5,12.55,11.75,11.95,367144
4.0,2004-01-16 00:00:00+05:30,12.0,12.05,11.35,11.45,436672
5.0,2004-01-19 00:00:00+05:30,11.85,11.85,11.25,11.5,174496
6.0,2004-01-20 00:00:00+05:30,11.9,11.9,11.25,11.45,282176
7.0,2004-01-21 00:00:00+05:30,11.25,11.35,10.85,10.85,187568
8.0,2004-01-22 00:00:00+05:30,10.4,10.8,10.35,10.35,151056
9.0,2004-01-23 00:00:00+05:30,10.0,10.0,9.8,9.95,267592
10.0,2004-01-27 00:00:00+05:30,10.25,10.45,10.0,10.45,339408
11.0,2004-01-28 00:00:00+05:30,10.6,10.85,10.05,10.1,335312
12.0,2004-01-29 00:00:00+05:30,10.5,10.55,10.15,10.2,257696
13.0,2004-01-30 00:00:00+05:30,10.5,10.5,9.8,9.95,275408
14.0,2004-02-03 00:00:00+05:30,10.25,10.25,9.5,9.5,174424
15.0,2004-02-04 00:00:00+05:30,9.35,9.6,9.05,9.15,428856
16.0,2004-02-05 00:00:00+05:30,9.35,9.35,8.75,8.8,192240
17.0,2004-02-06 00:00:00+05:30,9.0,9.0,8.35,8.4,110440
18.0,2004-02-09 00:00:00+05:30,8.35,8.85,8.35,8.75,127120
19.0,2004-02-10 00:00:00+05:30,8.95,9.2,8.75,9.05,183344
20.0,2004-02-11 00:00:00+05:30,9.05,9.5,8.95,9.35,141536
21.0,2004-02-12 00:00:00+05:30,9.6,9.8,9.05,9.25,242432
22.0,2004-02-13 00:00:00+05:30,9.45,9.75,9.25,9.75,151816
23.0,2004-02-16 00:00:00+05:30,9.8,10.25,9.8,10.05,168968
24.0,2004-02-17 00:00:00+05:30,10.35,10.45,10.0,10.1,97968
25.0,2004-02-18 00:00:00+05:30,10.4,10.6,10.4,10.55,180920
26.0,2004-02-19 00:00:00+05:30,10.8,10.9,10.0,10.0,235488
27.0,2004-02-20 00:00:00+05:30,9.8,10.1,9.55,9.95,137776
28.0,2004-02-23 00:00:00+05:30,10.0,10.3,9.75,9.75,152208
29.0,2004-02-24 00:00:00+05:30,9.8,10.25,9.75,9.95,215280
30.0,2004-02-25 00:00:00+05:30,10.05,10.3,10.0,10.0,308984
31.0,2004-02-26 00:00:00+05:30,10.05,10.2,9.95,10.0,207120
32.0,2004-02-27 00:00:00+05:30,10.0,10.05,9.8,9.85,153288
33.0,2004-03-01 00:00:00+05:30,10.0,10.0,9.75,9.85,149016
34.0,2004-03-03 00:00:00+05:30,10.2,10.25,9.75,9.8,150640
35.0,2004-03-04 00:00:00+05:30,9.85,9.95,9.5,9.5,182712
36.0,2004-03-05 00:00:00+05:30,9.75,10.35,9.6,9.75,147120
37.0,2004-03-08 00:00:00+05:30,9.7,10.1,9.7,9.8,175128
38.0,2004-03-09 00:00:00+05:30,9.8,9.95,9.55,9.65,199720
39.0,2004-03-10 00:00:00+05:30,9.85,9.85,9.6,9.7,143320
40.0,2004-03-11 00:00:00+05:30,9.8,10.45,9.7,9.85,517272
41.0,2004-03-12 00:00:00+05:30,9.95,10.0,9.7,9.75,146128
42.0,2004-03-15 00:00:00+05:30,10.05,10.25,9.65,9.75,139104
43.0,2004-03-16 00:00:00+05:30,9.7,9.85,9.4,9.45,298928
44.0,2004-03-17 00:00:00+05:30,9.35,9.7,9.25,9.45,426608
45.0,2004-03-18 00:00:00+05:30,9.6,9.6,9.25,9.25,132576
46.0,2004-03-19 00:00:00+05:30,9.45,9.45,9.2,9.2,170072
47.0,2004-03-22 00:00:00+05:30,9.25,9.25,8.5,8.8,192400
48.0,2004-03-23 00:00:00+05:30,8.7,8.8,8.45,8.55,102504
49.0,2004-03-24 00:00:00+05:30,8.6,8.6,8.15,8.2,133168
50.0,2004-03-25 00:00:00+05:30,8.35,8.5,8.3,8.35,91680
51.0,2004-03-26 00:00:00+05:30,8.45,8.85,8.45,8.5,108632
52.0,2004-03-29 00:00:00+05:30,8.75,9.15,8.5,9.0,120920
53.0,2004-03-30 00:00:00+05:30,9.0,9.35,9.0,9.1,211256
54.0,2004-03-31 00:00:00+05:30,9.05,9.4,9.05,9.25,107840
55.0,2004-04-01 00:00:00+05:30,9.25,10.0,9.25,9.5,202848
56.0,2004-04-02 00:00:00+05:30,9.95,10.0,9.5,9.65,108184
57.0,2004-04-05 00:00:00+05:30,9.8,9.95,9.75,9.8,139576
58.0,2004-04-06 00:00:00+05:30,10.25,10.25,9.6,9.75,91000
59.0,2004-04-07 00:00:00+05:30,9.95,10.0,9.6,9.7,111960
60.0,2004-04-08 00:00:00+05:30,9.85,9.85,9.55,9.7,148800
61.0,2004-04-12 00:00:00+05:30,9.75,9.95,9.5,9.75,144728
62.0,2004-04-13 00:00:00+05:30,9.85,9.85,9.6,9.7,162368
63.0,2004-04-15 00:00:00+05:30,9.85,9.9,9.65,9.7,112744
64.0,2004-04-16 00:00:00+05:30,9.95,9.95,9.55,9.6,140400
65.0,2004-04-19 00:00:00+05:30,10.45,10.45,9.75,9.85,159416
66.0,2004-04-20 00:00:00+05:30,9.85,9.95,9.65,9.7,167512
67.0,2004-04-21 00:00:00+05:30,9.75,10.65,9.75,10.3,675744
1.0,2004-04-22 00:00:00+05:30,10.55,10.8,10.3,10.5,280360
2.0,2004-04-23 00:00:00+05:30,10.7,11.55,10.25,10.45,403360
3.0,2004-04-27 00:00:00+05:30,10.35,10.7,9.85,10.05,169976
4.0,2004-04-28 00:00:00+05:30,10.0,10.25,9.75,10.0,94528
5.0,2004-04-29 00:00:00+05:30,10.3,10.3,9.95,10.0,94720
6.0,2004-04-30 00:00:00+05:30,10.0,10.85,10.0,10.45,351312
7.0,2004-05-03 00:00:00+05:30,10.75,10.75,10.25,10.35,161608
8.0,2004-05-04 00:00:00+05:30,10.55,10.55,10.35,10.45,263680
9.0,2004-05-05 00:00:00+05:30,10.75,10.75,10.1,10.25,160784
10.0,2004-05-06 00:00:00+05:30,10.45,10.75,10.2,10.25,141184
11.0,2004-05-07 00:00:00+05:30,10.35,10.35,10.05,10.15,126808
12.0,2004-05-10 00:00:00+05:30,10.4,10.45,9.8,9.95,129584
13.0,2004-05-11 00:00:00+05:30,10.0,10.0,9.6,9.65,166960
14.0,2004-05-12 00:00:00+05:30,9.95,10.0,9.5,9.6,64912
15.0,2004-05-13 00:00:00+05:30,9.75,10.0,9.55,9.65,92624
16.0,2004-05-14 00:00:00+05:30,9.6,10.5,9.25,9.35,88000
17.0,2004-05-17 00:00:00+05:30,9.25,9.35,8.45,8.6,65160
18.0,2004-05-18 00:00:00+05:30,8.75,8.75,8.25,8.55,108928
19.0,2004-05-19 00:00:00+05:30,8.95,9.35,8.5,9.2,274992
20.0,2004-05-20 00:00:00+05:30,9.35,10.15,9.25,9.9,225336
21.0,2004-05-21 00:00:00+05:30,9.8,9.8,9.55,9.7,87608
22.0,2004-06-23 00:00:00+05:30,10.2,10.2,9.75,9.8,131288
23.0,2004-06-24 00:00:00+05:30,10.0,10.0,9.65,9.75,223200
24.0,2004-06-25 00:00:00+05:30,9.75,10.0,9.65,9.85,197360
25.0,2004-06-28 00:00:00+05:30,10.05,10.05,9.75,9.85,154912
26.0,2004-06-29 00:00:00+05:30,10.1,10.25,9.9,9.95,462760
