Unnamed: 0,date,open,high,low,close,volume
0.0,2003-01-27 00:00:00+05:30,2.7,2.7,2.7,2.7,18010
1.0,2003-01-28 00:00:00+05:30,2.75,2.75,2.7,2.7,10498
2.0,2003-01-29 00:00:00+05:30,2.55,2.75,2.55,2.65,7210
3.0,2003-01-30 00:00:00+05:30,2.75,2.75,2.65,2.65,48034
4.0,2003-01-31 00:00:00+05:30,2.55,2.6,2.55,2.6,1210
5.0,2003-02-03 00:00:00+05:30,2.6,2.65,2.6,2.65,6058
6.0,2003-02-04 00:00:00+05:30,2.75,2.8,2.6,2.65,7810
7.0,2003-02-05 00:00:00+05:30,2.65,2.65,2.65,2.65,5398
8.0,2003-02-06 00:00:00+05:30,2.6,2.7,2.6,2.7,1798
9.0,2003-02-07 00:00:00+05:30,2.6,2.6,2.6,2.6,5998
10.0,2003-02-10 00:00:00+05:30,2.6,2.6,2.55,2.55,14698
11.0,2003-02-11 00:00:00+05:30,2.5,2.55,2.5,2.55,14098
12.0,2003-02-12 00:00:00+05:30,2.25,2.55,2.25,2.45,14398
13.0,2003-02-14 00:00:00+05:30,2.45,2.45,2.4,2.4,10198
14.0,2003-02-17 00:00:00+05:30,2.45,2.45,2.4,2.4,0
15.0,2003-02-18 00:00:00+05:30,2.45,2.5,2.45,2.5,8398
16.0,2003-02-19 00:00:00+05:30,2.45,2.45,2.45,2.45,1138
17.0,2003-02-20 00:00:00+05:30,2.45,2.45,2.45,2.45,0
18.0,2003-02-21 00:00:00+05:30,2.5,2.6,2.5,2.5,8698
19.0,2003-02-24 00:00:00+05:30,2.55,2.55,2.4,2.55,4798
20.0,2003-02-25 00:00:00+05:30,2.4,2.55,2.4,2.55,8518
21.0,2003-02-26 00:00:00+05:30,2.45,2.45,2.45,2.45,1198
22.0,2003-02-27 00:00:00+05:30,2.4,2.5,2.4,2.5,11578
23.0,2003-02-28 00:00:00+05:30,2.5,2.5,2.45,2.45,5998
24.0,2003-03-03 00:00:00+05:30,2.55,2.55,2.55,2.55,7798
25.0,2003-03-04 00:00:00+05:30,2.45,2.45,2.45,2.45,2998
26.0,2003-03-05 00:00:00+05:30,2.4,2.45,2.4,2.45,1498
27.0,2003-03-06 00:00:00+05:30,2.45,2.45,2.45,2.45,2398
28.0,2003-03-07 00:00:00+05:30,2.35,2.4,2.35,2.4,10474
29.0,2003-03-10 00:00:00+05:30,2.4,2.4,2.4,2.4,1198
30.0,2003-03-11 00:00:00+05:30,2.35,2.4,2.35,2.4,15910
31.0,2003-03-12 00:00:00+05:30,2.4,2.4,2.35,2.4,4198
32.0,2003-03-13 00:00:00+05:30,2.5,2.5,2.45,2.45,23518
33.0,2003-03-17 00:00:00+05:30,2.35,2.35,2.35,2.35,1198
0.0,2003-03-19 00:00:00+05:30,2.4,2.4,2.4,2.4,4798
1.0,2003-03-20 00:00:00+05:30,2.4,2.4,2.35,2.35,2998
2.0,2003-03-21 00:00:00+05:30,2.35,2.35,2.35,2.35,2398
3.0,2003-03-24 00:00:00+05:30,2.3,2.3,2.3,2.3,7798
4.0,2003-03-25 00:00:00+05:30,2.2,2.2,2.2,2.2,4798
5.0,2003-03-26 00:00:00+05:30,2.25,2.25,2.25,2.25,7306
6.0,2003-03-27 00:00:00+05:30,2.3,2.3,2.3,2.3,2398
7.0,2003-03-28 00:00:00+05:30,2.35,2.45,2.3,2.35,10822
8.0,2003-03-31 00:00:00+05:30,2.35,2.35,2.35,2.35,4798
9.0,2003-04-01 00:00:00+05:30,2.4,2.4,2.35,2.35,4186
10.0,2003-04-02 00:00:00+05:30,2.4,2.4,2.35,2.35,0
