Unnamed: 0,date,open,high,low,close,volume
0.0,2023-01-30 00:00:00+05:30,299.9,314.85,286.1,288.25,329027
1.0,2023-01-31 00:00:00+05:30,289.0,289.0,273.85,273.85,150034
2.0,2023-02-01 00:00:00+05:30,260.15,260.15,260.15,260.15,69850
3.0,2023-02-02 00:00:00+05:30,247.15,247.15,247.15,247.15,89213
4.0,2023-02-03 00:00:00+05:30,234.8,259.5,234.8,259.5,2065032
5.0,2023-02-06 00:00:00+05:30,272.45,272.45,266.2,272.45,660667
6.0,2023-02-07 00:00:00+05:30,286.05,286.05,286.05,286.05,343557
7.0,2023-02-08 00:00:00+05:30,300.35,300.35,300.35,300.35,310278
8.0,2023-02-09 00:00:00+05:30,315.35,315.35,315.35,315.35,724706
9.0,2023-02-10 00:00:00+05:30,331.1,331.1,308.05,313.05,751226
10.0,2023-02-13 00:00:00+05:30,318.0,337.9,313.75,323.05,360101
11.0,2023-02-14 00:00:00+05:30,330.5,330.5,291.8,298.45,260690
12.0,2023-02-15 00:00:00+05:30,302.95,310.1,287.95,294.55,198992
13.0,2023-02-16 00:00:00+05:30,299.0,301.7,292.1,295.3,112913
14.0,2023-02-17 00:00:00+05:30,301.0,312.0,295.2,303.0,370491
15.0,2023-02-20 00:00:00+05:30,314.0,317.0,310.6,314.7,173844
16.0,2023-02-21 00:00:00+05:30,318.0,323.3,307.0,310.8,334866
17.0,2023-02-22 00:00:00+05:30,311.85,313.0,302.7,305.5,211511
18.0,2023-02-23 00:00:00+05:30,304.0,324.0,302.55,315.55,229805
19.0,2023-02-24 00:00:00+05:30,317.85,322.0,310.5,314.2,145854
20.0,2023-02-27 00:00:00+05:30,310.0,313.65,306.05,310.3,65321
21.0,2023-02-28 00:00:00+05:30,310.0,310.0,298.0,302.6,248161
22.0,2023-03-01 00:00:00+05:30,300.0,309.0,298.0,299.9,165820
23.0,2023-03-02 00:00:00+05:30,302.85,303.0,296.4,297.9,101327
24.0,2023-03-03 00:00:00+05:30,300.9,306.9,298.0,300.0,126945
25.0,2023-03-06 00:00:00+05:30,301.0,309.9,300.25,305.25,209425
26.0,2023-03-08 00:00:00+05:30,303.0,304.0,294.0,301.15,183874
27.0,2023-03-09 00:00:00+05:30,304.0,307.9,297.9,299.1,160844
28.0,2023-03-10 00:00:00+05:30,298.0,306.85,295.5,303.0,84792
0.0,2023-03-13 00:00:00+05:30,304.0,304.05,297.1,300.3,84730
1.0,2023-03-14 00:00:00+05:30,300.0,303.85,294.5,298.0,60882
2.0,2023-03-15 00:00:00+05:30,298.1,307.65,296.55,302.15,71116
3.0,2023-03-16 00:00:00+05:30,302.15,302.15,287.4,291.1,110888
4.0,2023-03-17 00:00:00+05:30,295.95,295.95,283.8,285.9,75035
5.0,2023-03-20 00:00:00+05:30,281.3,285.95,277.1,280.3,205501
6.0,2023-03-21 00:00:00+05:30,285.0,285.6,276.05,280.8,290366
7.0,2023-03-22 00:00:00+05:30,287.75,293.4,281.1,287.95,409524
8.0,2023-03-23 00:00:00+05:30,285.25,299.35,285.25,295.85,247918
9.0,2023-03-24 00:00:00+05:30,295.0,295.8,282.9,285.15,161484
10.0,2023-03-27 00:00:00+05:30,285.15,285.75,277.85,282.8,264550
11.0,2023-03-28 00:00:00+05:30,285.0,285.0,274.9,278.85,240227
12.0,2023-03-29 00:00:00+05:30,279.0,285.1,275.1,279.05,180290
13.0,2023-03-31 00:00:00+05:30,283.0,283.0,269.0,275.85,288058
14.0,2023-04-03 00:00:00+05:30,277.0,280.2,271.55,275.2,302266
15.0,2023-04-05 00:00:00+05:30,275.15,288.0,275.1,278.05,180008
16.0,2023-04-06 00:00:00+05:30,279.45,292.55,278.45,287.5,168327
17.0,2023-04-10 00:00:00+05:30,303.3,308.7,292.1,301.75,1135020
18.0,2023-04-11 00:00:00+05:30,310.0,312.55,301.45,302.1,475237
19.0,2023-04-12 00:00:00+05:30,303.0,324.4,303.0,312.05,798998
20.0,2023-04-13 00:00:00+05:30,316.5,324.7,313.55,319.0,394409
21.0,2023-04-17 00:00:00+05:30,328.0,382.8,320.4,365.6,2070659
22.0,2023-04-18 00:00:00+05:30,371.4,384.0,360.3,377.85,536032
