Unnamed: 0,date,open,high,low,close,volume
0.0,2023-02-23 00:00:00+05:30,201.55,201.55,188.0,200.0,11
1.0,2023-02-24 00:00:00+05:30,195.0,200.6,195.0,195.1,216
2.0,2023-02-27 00:00:00+05:30,190.75,208.05,188.25,207.95,277
3.0,2023-02-28 00:00:00+05:30,208.0,208.0,200.0,200.0,110
4.0,2023-03-01 00:00:00+05:30,199.6,225.0,186.05,224.1,860
5.0,2023-03-02 00:00:00+05:30,205.0,225.0,205.0,224.0,758
6.0,2023-03-03 00:00:00+05:30,223.95,229.0,219.5,219.5,350
7.0,2023-03-06 00:00:00+05:30,210.5,229.35,210.5,218.0,39
8.0,2023-03-08 00:00:00+05:30,217.95,230.35,217.95,230.35,16
9.0,2023-03-09 00:00:00+05:30,231.0,239.9,226.55,235.95,266
10.0,2023-03-10 00:00:00+05:30,233.85,235.95,233.85,234.95,56
0.0,2023-03-13 00:00:00+05:30,229.95,231.95,201.0,201.2,63
1.0,2023-03-14 00:00:00+05:30,215.05,228.9,212.0,215.0,144
2.0,2023-03-15 00:00:00+05:30,215.0,222.0,210.0,217.4,310
3.0,2023-03-16 00:00:00+05:30,210.0,222.5,210.0,213.45,75
4.0,2023-03-17 00:00:00+05:30,214.9,230.05,200.05,205.0,43
5.0,2023-03-20 00:00:00+05:30,205.0,217.5,192.0,211.5,6322
6.0,2023-03-21 00:00:00+05:30,241.9,251.8,207.8,211.1,1699
7.0,2023-03-22 00:00:00+05:30,215.05,227.55,203.2,215.5,207
8.0,2023-03-23 00:00:00+05:30,211.95,222.55,211.95,222.55,3
9.0,2023-03-24 00:00:00+05:30,219.0,219.0,202.0,207.4,233
10.0,2023-03-27 00:00:00+05:30,206.05,206.05,187.1,189.5,63
11.0,2023-03-28 00:00:00+05:30,187.55,187.55,182.0,183.0,52
12.0,2023-03-29 00:00:00+05:30,183.0,185.0,180.8,185.0,272
13.0,2023-03-31 00:00:00+05:30,188.95,195.0,184.0,189.55,33
14.0,2023-04-03 00:00:00+05:30,192.0,196.0,187.55,195.0,133
15.0,2023-04-05 00:00:00+05:30,197.5,204.45,197.5,202.7,23
16.0,2023-04-06 00:00:00+05:30,203.95,205.05,200.8,202.7,58
17.0,2023-04-10 00:00:00+05:30,205.0,243.2,190.0,243.2,433
18.0,2023-04-11 00:00:00+05:30,246.0,290.0,245.95,286.6,3094
19.0,2023-04-12 00:00:00+05:30,270.0,343.5,270.0,319.8,2831
20.0,2023-04-13 00:00:00+05:30,348.0,348.0,321.05,329.25,1750
21.0,2023-04-17 00:00:00+05:30,321.0,324.9,280.1,303.95,2923
22.0,2023-04-18 00:00:00+05:30,309.9,317.8,280.1,308.75,375
23.0,2023-04-19 00:00:00+05:30,314.95,329.1,313.5,317.85,463
24.0,2023-04-20 00:00:00+05:30,319.95,322.0,299.95,308.9,392
25.0,2023-04-21 00:00:00+05:30,308.85,308.9,286.0,302.65,198
26.0,2023-04-24 00:00:00+05:30,309.95,330.0,309.95,319.15,312
27.0,2023-04-25 00:00:00+05:30,302.0,339.95,302.0,321.25,425
28.0,2023-04-26 00:00:00+05:30,312.55,323.0,305.0,312.15,44
29.0,2023-04-27 00:00:00+05:30,313.3,325.9,305.05,320.6,201
30.0,2023-04-28 00:00:00+05:30,324.95,384.7,324.95,347.4,4070
31.0,2023-05-02 00:00:00+05:30,349.95,365.25,341.05,351.15,762
32.0,2023-05-03 00:00:00+05:30,350.05,350.05,339.95,350.0,161
33.0,2023-05-04 00:00:00+05:30,349.95,350.0,342.5,342.5,146
34.0,2023-05-05 00:00:00+05:30,336.85,342.5,336.85,342.5,100
35.0,2023-05-08 00:00:00+05:30,342.45,342.5,324.95,334.0,384
36.0,2023-05-09 00:00:00+05:30,331.95,334.0,315.0,320.35,306
37.0,2023-05-10 00:00:00+05:30,318.0,318.0,295.0,296.7,225
38.0,2023-05-11 00:00:00+05:30,354.4,354.4,307.0,307.9,266
39.0,2023-05-12 00:00:00+05:30,312.55,322.65,312.05,319.85,199
40.0,2023-05-16 00:00:00+05:30,320.05,320.05,319.95,320.0,101
41.0,2023-05-17 00:00:00+05:30,314.05,318.0,304.95,315.5,21
42.0,2023-05-18 00:00:00+05:30,299.95,318.0,253.0,300.0,420
43.0,2023-05-19 00:00:00+05:30,309.95,309.95,271.0,290.15,211
44.0,2023-05-22 00:00:00+05:30,290.2,290.2,284.0,290.15,102
45.0,2023-05-23 00:00:00+05:30,287.95,296.05,287.95,295.05,19
46.0,2023-05-24 00:00:00+05:30,295.1,295.1,289.95,289.95,17
47.0,2023-05-25 00:00:00+05:30,290.0,300.0,290.0,290.05,107
48.0,2023-05-26 00:00:00+05:30,300.0,300.0,291.0,295.05,53
49.0,2023-05-29 00:00:00+05:30,291.1,291.1,291.05,291.1,3
50.0,2023-05-30 00:00:00+05:30,291.05,291.05,284.95,285.0,258
51.0,2023-05-31 00:00:00+05:30,284.55,286.85,281.0,283.15,107
52.0,2023-06-01 00:00:00+05:30,287.95,295.0,286.0,292.5,159
53.0,2023-06-02 00:00:00+05:30,292.45,292.45,285.0,286.4,230
54.0,2023-06-05 00:00:00+05:30,294.55,294.55,292.0,292.0,38
55.0,2023-06-06 00:00:00+05:30,293.95,302.0,293.95,299.35,199
56.0,2023-06-07 00:00:00+05:30,301.0,308.0,295.25,307.95,94
57.0,2023-06-08 00:00:00+05:30,307.95,312.5,306.0,311.0,76
58.0,2023-06-09 00:00:00+05:30,307.0,307.0,307.0,307.0,1
59.0,2023-06-12 00:00:00+05:30,308.05,308.05,306.0,306.0,3
60.0,2023-06-13 00:00:00+05:30,309.0,309.0,291.0,295.6,125
61.0,2023-06-14 00:00:00+05:30,302.5,303.75,295.6,303.4,117
62.0,2023-06-15 00:00:00+05:30,303.95,315.0,303.95,309.0,62
63.0,2023-06-16 00:00:00+05:30,315.0,320.0,303.0,313.0,261
64.0,2023-06-19 00:00:00+05:30,320.0,325.05,302.6,304.0,217
65.0,2023-06-20 00:00:00+05:30,315.05,315.05,302.6,303.5,96
66.0,2023-06-21 00:00:00+05:30,311.95,311.95,310.05,310.05,1
0.0,2023-06-22 00:00:00+05:30,313.0,313.05,300.0,304.1,72
0.0,2023-06-23 00:00:00+05:30,304.1,320.0,304.1,319.3,226
0.0,2023-06-26 00:00:00+05:30,314.95,322.5,311.5,320.05,536
0.0,2023-06-27 00:00:00+05:30,321.0,335.0,318.0,320.05,2235
,2023-06-28 00:00:00+05:30,323.95,325.95,317.75,317.8,55
,2023-06-30 00:00:00+05:30,324.0,324.0,310.0,310.5,40
