Unnamed: 0,date,open,high,low,close,volume
0.0,2023-01-30 00:00:00+05:30,135.0,135.0,135.0,135.0,5
1.0,2023-02-02 00:00:00+05:30,108.0,108.0,108.0,108.0,110
2.0,2023-02-03 00:00:00+05:30,87.0,108.0,87.0,103.2,53
3.0,2023-02-06 00:00:00+05:30,122.9,123.8,122.9,122.9,42
4.0,2023-02-07 00:00:00+05:30,122.9,122.9,122.9,122.9,101
5.0,2023-02-08 00:00:00+05:30,122.9,122.9,122.8,122.8,2
6.0,2023-02-09 00:00:00+05:30,122.8,122.8,122.8,122.8,5
7.0,2023-02-10 00:00:00+05:30,122.7,145.0,122.0,122.0,71
8.0,2023-02-20 00:00:00+05:30,146.4,146.4,146.4,146.4,76
9.0,2023-02-21 00:00:00+05:30,175.0,175.0,167.7,167.7,208
10.0,2023-02-22 00:00:00+05:30,167.7,167.9,167.7,167.7,251
11.0,2023-02-23 00:00:00+05:30,180.0,195.0,179.9,190.0,589
12.0,2023-02-24 00:00:00+05:30,200.0,200.0,161.05,161.15,46
13.0,2023-02-27 00:00:00+05:30,152.0,192.0,151.0,192.0,231
14.0,2023-02-28 00:00:00+05:30,153.65,153.65,153.65,153.65,94
15.0,2023-03-01 00:00:00+05:30,153.65,155.0,150.05,150.05,139
16.0,2023-03-02 00:00:00+05:30,150.05,150.05,150.05,150.05,15
17.0,2023-03-03 00:00:00+05:30,150.55,150.55,137.0,140.0,325
18.0,2023-03-06 00:00:00+05:30,139.5,140.0,139.5,140.0,55
19.0,2023-03-08 00:00:00+05:30,140.0,140.0,140.0,140.0,60
20.0,2023-03-09 00:00:00+05:30,147.0,147.0,140.0,146.95,134
21.0,2023-03-10 00:00:00+05:30,147.0,147.0,146.5,146.5,150
22.0,2023-03-13 00:00:00+05:30,140.0,145.0,135.0,135.0,22
1.0,2023-03-15 00:00:00+05:30,145.0,145.0,145.0,145.0,6
2.0,2023-03-20 00:00:00+05:30,116.0,116.05,116.0,116.0,284
3.0,2023-03-21 00:00:00+05:30,111.0,111.0,111.0,111.0,100
4.0,2023-03-22 00:00:00+05:30,111.0,111.0,111.0,111.0,13
5.0,2023-03-23 00:00:00+05:30,102.0,111.0,100.55,100.55,170
6.0,2023-03-24 00:00:00+05:30,101.0,101.0,90.25,90.25,108
7.0,2023-03-31 00:00:00+05:30,80.85,80.85,80.8,80.8,118
8.0,2023-04-26 00:00:00+05:30,96.95,96.95,96.95,96.95,1
9.0,2023-04-28 00:00:00+05:30,97.0,116.3,97.0,116.0,605
10.0,2023-05-03 00:00:00+05:30,116.0,116.0,116.0,116.0,33
11.0,2023-05-10 00:00:00+05:30,116.0,116.0,116.0,116.0,195
12.0,2023-05-16 00:00:00+05:30,103.05,103.05,103.05,103.05,4
13.0,2023-05-17 00:00:00+05:30,104.35,104.35,104.35,104.35,50
14.0,2023-05-18 00:00:00+05:30,120.0,125.0,120.0,125.0,9
15.0,2023-05-19 00:00:00+05:30,104.4,125.2,104.4,125.2,16
16.0,2023-05-25 00:00:00+05:30,125.2,150.0,125.2,150.0,351
17.0,2023-05-29 00:00:00+05:30,150.0,150.0,150.0,150.0,1
18.0,2023-05-30 00:00:00+05:30,167.0,167.0,167.0,167.0,100
19.0,2023-05-31 00:00:00+05:30,165.0,165.0,165.0,165.0,2
20.0,2023-06-01 00:00:00+05:30,132.0,135.0,132.0,135.0,30
21.0,2023-06-09 00:00:00+05:30,145.0,145.0,145.0,145.0,13
22.0,2023-06-12 00:00:00+05:30,145.0,145.0,140.0,140.0,200
23.0,2023-06-13 00:00:00+05:30,140.0,165.0,140.0,165.0,77
,2023-06-28 00:00:00+05:30,165.0,165.0,165.0,165.0,0
