Unnamed: 0,date,open,high,low,close,volume
0.0,2006-11-21 00:00:00+05:30,53.85,59.0,53.85,55.95,41811
1.0,2006-11-22 00:00:00+05:30,58.0,62.55,50.5,57.95,31971
2.0,2006-11-23 00:00:00+05:30,60.0,60.0,54.8,55.5,5553
3.0,2006-11-24 00:00:00+05:30,56.0,60.0,53.55,56.35,8304
4.0,2006-11-27 00:00:00+05:30,56.0,59.0,55.0,56.55,3964
5.0,2006-11-28 00:00:00+05:30,60.0,60.0,55.5,57.25,3782
6.0,2006-11-29 00:00:00+05:30,57.5,58.7,56.4,56.4,2790
7.0,2006-11-30 00:00:00+05:30,59.4,67.0,57.25,63.6,28801
8.0,2006-12-01 00:00:00+05:30,66.0,68.0,63.35,64.5,20725
9.0,2006-12-04 00:00:00+05:30,65.2,65.2,58.0,58.65,57087
10.0,2006-12-05 00:00:00+05:30,62.35,63.1,60.0,60.95,15912
11.0,2006-12-06 00:00:00+05:30,62.0,63.1,59.8,62.35,8688
12.0,2006-12-07 00:00:00+05:30,63.0,66.0,63.0,65.1,12924
13.0,2006-12-08 00:00:00+05:30,66.85,67.0,56.25,58.7,43860
14.0,2006-12-11 00:00:00+05:30,61.0,61.8,59.0,60.25,54902
15.0,2006-12-12 00:00:00+05:30,54.1,61.45,53.0,59.85,35454
16.0,2006-12-13 00:00:00+05:30,58.0,61.5,57.25,60.3,52209
17.0,2006-12-14 00:00:00+05:30,61.0,72.4,60.4,72.4,768326
18.0,2006-12-15 00:00:00+05:30,74.25,86.9,74.25,79.7,1446181
19.0,2006-12-18 00:00:00+05:30,80.9,91.3,74.55,87.45,719576
20.0,2006-12-19 00:00:00+05:30,87.0,92.4,85.25,86.15,461188
21.0,2006-12-20 00:00:00+05:30,87.7,88.5,80.1,81.1,131306
22.0,2006-12-21 00:00:00+05:30,81.85,81.85,77.2,77.6,69225
23.0,2006-12-22 00:00:00+05:30,77.9,79.5,75.0,75.55,73222
24.0,2006-12-26 00:00:00+05:30,76.5,82.5,75.1,78.5,65551
25.0,2006-12-27 00:00:00+05:30,79.5,81.8,77.65,78.25,44117
26.0,2006-12-28 00:00:00+05:30,78.5,80.3,77.5,79.0,36297
27.0,2006-12-29 00:00:00+05:30,78.0,83.25,78.0,81.7,53847
28.0,2007-01-02 00:00:00+05:30,83.2,89.9,83.2,89.9,148914
29.0,2007-01-03 00:00:00+05:30,90.0,90.0,82.25,82.75,103910
30.0,2007-01-04 00:00:00+05:30,82.25,85.9,82.25,83.45,38112
31.0,2007-01-05 00:00:00+05:30,83.9,88.4,82.1,85.0,304273
32.0,2007-01-08 00:00:00+05:30,85.0,88.4,83.8,85.85,163290
33.0,2007-01-09 00:00:00+05:30,85.5,91.25,84.15,84.9,349390
34.0,2007-01-10 00:00:00+05:30,84.75,93.4,84.15,93.4,211854
35.0,2007-01-11 00:00:00+05:30,90.0,96.7,90.0,95.1,180448
36.0,2007-01-12 00:00:00+05:30,96.9,100.7,94.1,95.9,201325
37.0,2007-01-15 00:00:00+05:30,96.9,102.85,93.1,94.9,84075
0.0,2007-01-16 00:00:00+05:30,97.4,98.4,92.0,93.9,213723
1.0,2007-01-17 00:00:00+05:30,94.1,98.0,94.1,95.6,15793
2.0,2007-01-18 00:00:00+05:30,95.1,96.35,94.15,95.3,54290
3.0,2007-01-19 00:00:00+05:30,95.5,97.45,86.0,93.65,29097
