Unnamed: 0,date,open,high,low,close,volume
0.0,2020-06-24 00:00:00+05:30,24.7,24.7,24.7,24.7,1
1.0,2020-06-25 00:00:00+05:30,25.9,25.9,25.9,25.9,1000
2.0,2020-06-26 00:00:00+05:30,27.15,27.15,27.15,27.15,51
3.0,2020-06-29 00:00:00+05:30,28.5,28.5,28.5,28.5,51
4.0,2020-06-30 00:00:00+05:30,29.9,29.9,29.9,29.9,1260
5.0,2020-07-01 00:00:00+05:30,31.35,31.35,31.3,31.35,8263
6.0,2020-07-02 00:00:00+05:30,32.9,32.9,32.9,32.9,1250
7.0,2020-07-03 00:00:00+05:30,34.5,34.5,34.5,34.5,380
8.0,2020-07-06 00:00:00+05:30,36.2,36.2,36.2,36.2,500
9.0,2020-07-07 00:00:00+05:30,38.0,38.0,38.0,38.0,2718
10.0,2020-07-08 00:00:00+05:30,39.9,39.9,36.1,36.55,35164
11.0,2020-07-09 00:00:00+05:30,34.75,36.0,34.75,35.0,5669
12.0,2020-07-10 00:00:00+05:30,36.0,36.75,34.1,35.95,8201
13.0,2020-07-13 00:00:00+05:30,37.7,37.7,34.8,35.85,2325
14.0,2020-07-14 00:00:00+05:30,36.0,37.5,34.1,35.15,3718
15.0,2020-07-15 00:00:00+05:30,33.85,35.85,33.4,33.4,4592
16.0,2020-07-16 00:00:00+05:30,31.9,32.9,31.75,31.75,1407
17.0,2020-07-17 00:00:00+05:30,32.0,32.9,30.7,32.9,432
18.0,2020-07-20 00:00:00+05:30,34.3,34.3,31.5,32.95,2724
19.0,2020-07-21 00:00:00+05:30,31.5,34.2,31.35,31.4,5232
20.0,2020-07-22 00:00:00+05:30,32.9,32.95,32.75,32.95,1265
21.0,2020-07-23 00:00:00+05:30,34.5,34.5,31.4,31.6,10784
22.0,2020-07-24 00:00:00+05:30,32.75,32.75,30.1,30.35,343
23.0,2020-07-27 00:00:00+05:30,31.75,31.75,31.0,31.4,545
24.0,2020-07-28 00:00:00+05:30,32.75,32.75,29.85,32.0,442
25.0,2020-07-30 00:00:00+05:30,32.0,32.0,31.0,32.0,1108
26.0,2020-07-31 00:00:00+05:30,30.4,32.5,30.4,31.5,32030
27.0,2020-08-03 00:00:00+05:30,29.95,33.05,29.95,31.65,1894
28.0,2020-08-04 00:00:00+05:30,33.2,33.2,30.1,30.1,5135
29.0,2020-08-05 00:00:00+05:30,28.65,31.5,28.65,30.7,506
30.0,2020-08-06 00:00:00+05:30,30.7,31.7,29.25,30.9,10461
31.0,2020-08-07 00:00:00+05:30,30.0,31.55,28.05,29.7,6458
32.0,2020-08-10 00:00:00+05:30,27.0,32.4,27.0,32.1,3311
33.0,2020-08-11 00:00:00+05:30,31.5,34.25,30.0,32.9,282
34.0,2020-08-12 00:00:00+05:30,30.4,33.25,30.15,30.65,15688
35.0,2020-08-13 00:00:00+05:30,31.0,31.0,29.3,30.75,3402
36.0,2020-08-14 00:00:00+05:30,33.35,33.8,31.9,33.8,17516
37.0,2020-08-17 00:00:00+05:30,37.15,37.15,37.15,37.15,5632
38.0,2020-08-18 00:00:00+05:30,40.85,40.85,39.1,40.85,9293
39.0,2020-08-19 00:00:00+05:30,44.5,44.9,41.0,44.9,11506
40.0,2020-08-20 00:00:00+05:30,46.0,46.0,42.7,45.1,20793
41.0,2020-08-21 00:00:00+05:30,45.1,45.85,43.5,44.45,6836
42.0,2020-08-24 00:00:00+05:30,44.5,45.45,43.5,44.4,3264
43.0,2020-08-25 00:00:00+05:30,44.0,45.0,43.0,43.75,3010
44.0,2020-08-26 00:00:00+05:30,44.5,44.5,42.25,43.0,2717
45.0,2020-08-27 00:00:00+05:30,45.15,45.15,43.25,44.4,1093
46.0,2020-08-28 00:00:00+05:30,44.0,44.0,42.5,44.0,2131
47.0,2020-08-31 00:00:00+05:30,44.0,44.5,41.8,41.8,6971
