Unnamed: 0,date,open,high,low,close,volume
0.0,2003-01-27 00:00:00+05:30,32.6,33.98,31.92,31.93,40424
1.0,2003-01-28 00:00:00+05:30,32.28,32.8,30.4,32.41,71624
2.0,2003-01-29 00:00:00+05:30,32.5,34.03,32.4,33.12,77469
3.0,2003-01-30 00:00:00+05:30,33.69,33.78,32.8,32.9,27284
4.0,2003-01-31 00:00:00+05:30,33.0,34.0,32.42,33.07,77069
5.0,2003-02-03 00:00:00+05:30,31.7,34.4,31.58,33.63,189694
6.0,2003-02-04 00:00:00+05:30,34.0,34.28,33.01,33.27,40854
7.0,2003-02-05 00:00:00+05:30,33.2,33.25,32.85,32.89,47414
8.0,2003-02-06 00:00:00+05:30,32.92,33.35,32.42,32.67,51554
9.0,2003-02-07 00:00:00+05:30,32.45,32.79,32.45,32.62,33664
10.0,2003-02-10 00:00:00+05:30,33.17,33.17,32.5,32.57,34119
11.0,2003-02-11 00:00:00+05:30,32.6,32.6,32.0,32.27,37334
12.0,2003-02-12 00:00:00+05:30,32.2,32.2,31.26,31.47,8584
13.0,2003-02-14 00:00:00+05:30,31.0,31.0,29.9,30.09,89324
14.0,2003-02-17 00:00:00+05:30,30.6,31.6,30.6,31.6,28539
15.0,2003-02-18 00:00:00+05:30,32.6,33.18,31.6,31.86,95624
16.0,2003-02-19 00:00:00+05:30,32.45,32.88,32.02,32.65,39524
17.0,2003-02-20 00:00:00+05:30,32.6,32.96,32.1,32.14,27004
18.0,2003-02-21 00:00:00+05:30,32.0,32.49,31.8,31.98,13784
19.0,2003-02-24 00:00:00+05:30,32.11,32.2,31.8,31.81,12169
20.0,2003-02-25 00:00:00+05:30,31.15,31.6,31.12,31.16,18399
21.0,2003-02-26 00:00:00+05:30,30.85,30.86,30.26,30.4,34799
22.0,2003-02-27 00:00:00+05:30,30.38,31.0,30.38,30.67,9779
23.0,2003-02-28 00:00:00+05:30,29.5,31.8,29.5,30.49,40484
24.0,2003-03-03 00:00:00+05:30,30.4,30.4,29.2,29.6,56859
25.0,2003-03-04 00:00:00+05:30,29.03,29.74,29.0,29.02,41794
26.0,2003-03-05 00:00:00+05:30,29.0,29.02,28.06,28.54,53014
27.0,2003-03-06 00:00:00+05:30,28.98,28.98,28.04,28.13,20159
28.0,2003-03-07 00:00:00+05:30,28.0,28.0,27.22,27.69,73359
29.0,2003-03-10 00:00:00+05:30,27.0,28.6,27.0,28.35,198534
30.0,2003-03-11 00:00:00+05:30,27.81,28.2,27.8,28.17,46459
31.0,2003-03-12 00:00:00+05:30,27.71,27.9,27.66,27.73,80834
32.0,2003-03-13 00:00:00+05:30,28.0,28.55,27.3,27.38,68034
33.0,2003-03-17 00:00:00+05:30,27.0,27.32,26.65,26.8,64484
0.0,2003-03-19 00:00:00+05:30,27.02,27.38,27.0,27.0,10479
1.0,2003-03-20 00:00:00+05:30,26.22,27.78,26.21,26.91,13559
2.0,2003-03-21 00:00:00+05:30,26.4,28.26,26.4,28.17,28539
3.0,2003-03-24 00:00:00+05:30,28.31,28.31,27.18,27.25,47594
4.0,2003-03-25 00:00:00+05:30,26.8,27.15,26.8,26.99,42949
5.0,2003-03-26 00:00:00+05:30,27.2,27.5,26.7,27.18,352449
6.0,2003-03-27 00:00:00+05:30,26.6,26.67,26.06,26.13,120629
7.0,2003-03-28 00:00:00+05:30,26.21,26.69,26.21,26.29,25114
8.0,2003-03-31 00:00:00+05:30,26.03,26.4,25.43,25.48,34419
9.0,2003-04-01 00:00:00+05:30,25.03,25.6,24.92,25.54,165449
10.0,2003-04-02 00:00:00+05:30,25.6,26.0,25.6,26.0,303009
11.0,2003-04-03 00:00:00+05:30,26.39,26.6,26.08,26.1,79304
12.0,2003-04-04 00:00:00+05:30,26.35,26.44,26.1,26.23,23154
13.0,2003-04-07 00:00:00+05:30,26.9,28.86,26.65,28.86,107194
14.0,2003-04-08 00:00:00+05:30,29.4,31.6,29.08,30.82,191984
15.0,2003-04-09 00:00:00+05:30,30.8,30.8,29.45,29.9,109784
16.0,2003-04-10 00:00:00+05:30,30.2,30.65,27.45,27.66,81379
17.0,2003-04-11 00:00:00+05:30,28.4,29.2,27.43,28.65,89159
18.0,2003-04-15 00:00:00+05:30,27.91,29.78,27.91,29.07,7739
19.0,2003-04-16 00:00:00+05:30,28.8,29.55,28.8,29.18,23259
20.0,2003-04-17 00:00:00+05:30,28.8,29.14,28.4,29.05,19784
21.0,2003-04-21 00:00:00+05:30,28.9,29.45,28.89,29.21,20359
22.0,2003-04-22 00:00:00+05:30,29.42,29.7,29.05,29.49,15299
23.0,2003-04-23 00:00:00+05:30,30.0,30.95,29.4,29.61,32809
24.0,2003-04-24 00:00:00+05:30,29.99,30.0,28.64,29.14,18354
25.0,2003-04-25 00:00:00+05:30,28.8,29.4,28.8,29.37,5054
26.0,2003-04-28 00:00:00+05:30,29.6,30.5,26.8,27.8,114469
27.0,2003-04-29 00:00:00+05:30,28.22,28.22,27.2,27.25,31834
28.0,2003-04-30 00:00:00+05:30,27.27,27.27,27.02,27.17,47059
29.0,2003-05-02 00:00:00+05:30,26.9,27.5,26.9,27.16,31304
30.0,2003-05-05 00:00:00+05:30,27.8,27.8,27.03,27.29,46154
31.0,2003-05-06 00:00:00+05:30,27.13,27.86,27.13,27.53,28049
32.0,2003-05-07 00:00:00+05:30,27.95,27.97,27.6,27.8,21989
33.0,2003-05-08 00:00:00+05:30,27.7,28.2,27.26,27.5,20324
34.0,2003-05-09 00:00:00+05:30,27.7,29.6,27.44,29.23,86914
35.0,2003-05-12 00:00:00+05:30,30.6,30.6,29.73,29.99,165339
36.0,2003-05-13 00:00:00+05:30,30.36,32.99,30.16,32.94,342714
37.0,2003-05-14 00:00:00+05:30,33.4,34.0,32.3,32.94,217554
38.0,2003-05-15 00:00:00+05:30,33.4,35.8,32.8,34.08,269434
39.0,2003-05-16 00:00:00+05:30,34.78,34.96,33.0,33.3,78689
40.0,2003-05-19 00:00:00+05:30,33.6,33.9,32.7,32.78,52224
41.0,2003-05-20 00:00:00+05:30,32.2,33.0,31.6,32.06,68964
42.0,2003-05-21 00:00:00+05:30,32.18,35.2,32.18,33.56,250249
43.0,2003-05-22 00:00:00+05:30,35.0,35.6,34.2,34.86,242114
44.0,2003-05-23 00:00:00+05:30,35.75,36.5,35.4,35.58,166819
45.0,2003-05-26 00:00:00+05:30,35.5,39.14,35.5,39.14,370839
46.0,2003-05-27 00:00:00+05:30,40.8,41.94,38.02,38.52,559289
47.0,2003-05-28 00:00:00+05:30,39.0,41.0,38.8,40.32,258094
48.0,2003-05-29 00:00:00+05:30,40.98,41.25,40.2,40.59,202759
49.0,2003-05-30 00:00:00+05:30,41.0,41.0,38.46,40.17,176774
50.0,2003-06-02 00:00:00+05:30,40.04,40.2,38.6,38.86,54414
51.0,2003-06-03 00:00:00+05:30,38.8,39.1,37.43,37.79,43084
52.0,2003-06-04 00:00:00+05:30,38.1,39.08,36.2,36.92,81509
53.0,2003-06-05 00:00:00+05:30,37.2,40.4,37.2,38.82,188139
54.0,2003-06-06 00:00:00+05:30,38.8,40.2,38.46,39.52,165524
55.0,2003-06-09 00:00:00+05:30,38.2,40.8,38.2,39.65,64144
56.0,2003-06-10 00:00:00+05:30,39.05,40.4,39.05,39.33,142449
57.0,2003-06-11 00:00:00+05:30,41.4,41.6,40.18,40.57,276144
58.0,2003-06-12 00:00:00+05:30,40.8,44.63,40.8,44.63,601164
59.0,2003-06-13 00:00:00+05:30,45.8,49.1,45.8,49.1,946469
60.0,2003-06-16 00:00:00+05:30,50.03,51.4,46.3,47.72,928734
61.0,2003-06-17 00:00:00+05:30,49.56,49.56,47.0,47.81,306484
62.0,2003-06-18 00:00:00+05:30,48.54,48.8,45.2,45.76,143059
63.0,2003-06-19 00:00:00+05:30,46.02,47.76,45.6,46.62,98904
64.0,2003-06-20 00:00:00+05:30,47.2,51.29,46.89,51.29,531694
65.0,2003-06-23 00:00:00+05:30,51.88,53.95,48.0,48.46,591869
66.0,2003-06-24 00:00:00+05:30,48.95,51.0,48.8,49.13,310464
67.0,2003-06-25 00:00:00+05:30,49.42,50.0,48.03,48.35,104189
68.0,2003-06-26 00:00:00+05:30,48.93,53.0,48.8,52.32,820354
1.0,2003-06-27 00:00:00+05:30,55.6,57.0,53.12,55.5,928039
2.0,2003-06-30 00:00:00+05:30,57.0,61.05,56.2,59.46,1645544
3.0,2003-07-01 00:00:00+05:30,59.96,65.41,59.6,65.24,1432599
4.0,2003-07-02 00:00:00+05:30,62.0,68.6,60.4,61.71,1056894
5.0,2003-07-03 00:00:00+05:30,63.0,64.74,58.66,59.53,566964
6.0,2003-07-04 00:00:00+05:30,60.34,61.44,57.62,58.48,360384
7.0,2003-07-07 00:00:00+05:30,61.38,61.41,58.72,61.41,196124
8.0,2003-07-08 00:00:00+05:30,62.0,63.6,58.6,59.4,289584
9.0,2003-07-09 00:00:00+05:30,60.2,60.2,56.6,56.99,113154
10.0,2003-07-10 00:00:00+05:30,57.0,58.29,56.0,56.75,109184
11.0,2003-07-11 00:00:00+05:30,56.0,59.59,56.0,58.66,191749
12.0,2003-07-14 00:00:00+05:30,60.0,60.9,57.22,57.76,230774
13.0,2003-07-15 00:00:00+05:30,59.0,59.8,54.88,55.57,562939
14.0,2003-07-16 00:00:00+05:30,57.74,58.35,55.8,58.3,515849
15.0,2003-07-17 00:00:00+05:30,59.98,60.0,57.06,57.52,308354
16.0,2003-07-18 00:00:00+05:30,57.2,59.6,57.0,57.36,313129
17.0,2003-07-21 00:00:00+05:30,58.0,58.94,56.51,57.36,144804
18.0,2003-07-22 00:00:00+05:30,57.96,60.23,57.96,59.16,692139
19.0,2003-07-23 00:00:00+05:30,59.6,61.0,58.91,60.43,500049
20.0,2003-07-24 00:00:00+05:30,61.4,63.46,60.2,63.46,402134
21.0,2003-07-25 00:00:00+05:30,65.0,66.6,63.81,64.47,437339
22.0,2003-07-28 00:00:00+05:30,65.98,65.98,61.44,61.68,81849
23.0,2003-07-29 00:00:00+05:30,62.1,63.8,60.71,61.36,340519
24.0,2003-07-30 00:00:00+05:30,61.98,63.0,60.81,61.15,80054
25.0,2003-07-31 00:00:00+05:30,62.0,63.38,59.41,61.55,370759
26.0,2003-08-01 00:00:00+05:30,61.98,63.86,61.89,63.61,217839
27.0,2003-08-04 00:00:00+05:30,64.74,65.0,61.6,62.19,128544
28.0,2003-08-05 00:00:00+05:30,61.06,62.8,59.17,59.62,35464
29.0,2003-08-06 00:00:00+05:30,59.99,62.0,57.81,59.37,75554
30.0,2003-08-07 00:00:00+05:30,60.4,62.34,60.0,60.94,106594
31.0,2003-08-08 00:00:00+05:30,61.4,63.8,61.0,62.53,245034
32.0,2003-08-11 00:00:00+05:30,62.0,64.8,61.61,62.79,189549
33.0,2003-08-12 00:00:00+05:30,62.94,63.0,61.2,62.58,143539
34.0,2003-08-13 00:00:00+05:30,63.6,65.2,63.0,63.57,359104
35.0,2003-08-14 00:00:00+05:30,64.4,64.4,62.0,63.0,196824
36.0,2003-08-18 00:00:00+05:30,64.96,64.96,61.81,62.04,106294
37.0,2003-08-19 00:00:00+05:30,63.78,63.8,60.85,61.39,159569
38.0,2003-08-20 00:00:00+05:30,63.98,63.98,59.22,59.81,86919
39.0,2003-08-21 00:00:00+05:30,61.96,61.96,57.51,58.13,230084
40.0,2003-08-22 00:00:00+05:30,58.0,61.0,56.99,60.59,469504
41.0,2003-08-25 00:00:00+05:30,61.74,61.74,57.6,57.6,88349
42.0,2003-08-26 00:00:00+05:30,58.0,58.5,56.85,57.4,74144
43.0,2003-08-27 00:00:00+05:30,60.2,60.2,58.2,58.53,89179
44.0,2003-08-28 00:00:00+05:30,59.0,59.4,57.0,57.76,59879
